actor_id,actor_name,rank,Label
442,杰西卡·查斯坦,12,actor
443,蒂姆·罗斯,12,actor
444,杰斯·哈梅尔,12,actor
445,罗伯特·杜瓦尔,12,actor
446,威廉·菲克纳,12,actor
447,倪大红,12,actor
448,玛吉·史密斯,12,actor
449,伊安·霍姆,12,actor
450,安迪·瑟金斯,12,actor
451,王砚辉,12,actor
452,丹尼·德维托,12,actor
453,詹森·艾萨克,12,actor
454,马克斯·冯·叙多夫,12,actor
455,田启文,12,actor
456,元秋,12,actor
457,布莱恩·考克斯,12,actor
458,托妮·科莱特,12,actor
459,艾丹·吉伦,12,actor
460,树木希林,12,actor
461,玛格特·罗比,12,actor
462,克里斯托弗·瓦尔兹,12,actor
463,钱似莺,12,actor
464,唐·钱德尔,12,actor
465,徐克,12,actor
466,钟楚红,12,actor
467,钟丽缇,12,actor
468,吴启华,12,actor
469,黄一飞,12,actor
470,池松壮亮,12,actor
471,杨采妮,12,actor
472,王迅,12,actor
473,小山力也,12,actor
474,尼古拉斯·霍尔特,12,actor
475,迈克尔·法斯宾德,12,actor
476,克里斯·库珀,12,actor
477,许冠文,12,actor
478,周秀娜,12,actor
479,冯德伦,12,actor
480,理查德·詹金斯,12,actor
481,段奕宏,12,actor
482,李光洁,12,actor
483,许冠英,12,actor
484,叶德娴,12,actor
485,安杰丽卡·休斯顿,12,actor
486,葛民辉,12,actor
487,迪·布拉雷·贝克尔,12,actor
488,刘丹,12,actor
489,黄德斌,12,actor
490,林国斌,12,actor
491,吉恩·哈克曼,12,actor
492,赛琳娜·戈麦斯,12,actor
493,余男,12,actor
494,刘浩龙,12,actor
495,杉村春子,12,actor
496,埃迪·马森,12,actor
497,李晓川,12,actor
498,洪天明,12,actor
499,闫妮,12,actor
500,希亚·拉博夫,12,actor
501,王千源,12,actor
502,曾国祥,12,actor
503,桂纶镁,12,actor
504,艾莉森·珍妮,12,actor
505,何家驹,12,actor
506,克里斯·海姆斯沃斯,12,actor
507,黄光亮,12,actor
508,吉姆·卡明斯,12,actor
509,许冠杰,12,actor
510,塞斯·罗根,12,actor
511,克里斯汀·斯图尔特,12,actor
512,关海山,12,actor
513,张铁林,12,actor
514,孙兴,12,actor
515,王刚,12,actor
516,张丰毅,11,actor
517,本·金斯利,11,actor
518,汤姆·哈迪,11,actor
519,马修·麦康纳,11,actor
520,艾德·哈里斯,11,actor
521,郑秀文,11,actor
522,陈冠希,11,actor
523,伊德里斯·艾尔巴,11,actor
524,约翰·迪·马吉欧,11,actor
525,丹尼尔·雷德克里夫,11,actor
526,罗彼·考特拉尼,11,actor
527,菲利普·塞默·霍夫曼,11,actor
528,宋康昊,11,actor
529,哈利·戴恩·斯坦通,11,actor
530,蒂莫西·斯波,11,actor
531,蕾雅·赛杜,11,actor
532,汤姆·威尔金森,11,actor
533,文·瑞姆斯,11,actor
534,凯文·史派西,11,actor
535,黄圣依,11,actor
536,梁小龙,11,actor
537,林子聪,11,actor
538,杰弗里·拉什,11,actor
539,托比·琼斯,11,actor
540,三浦贵大,11,actor
541,杰拉德·巴特勒,11,actor
542,瑞秋·麦克亚当斯,11,actor
543,安迪·加西亚,11,actor
544,史蒂夫·卡瑞尔,11,actor
545,米歇尔·菲佛,11,actor
546,拉斯科·阿特金斯,11,actor
547,堺左千夫,11,actor
548,仲代达矢,11,actor
549,查尔斯·丹斯,11,actor
550,丹尼·格洛弗,11,actor
551,艾玛·斯通,11,actor
552,李治廷,11,actor
553,盖·皮尔斯,11,actor
554,科林·费尔斯,11,actor
555,杰克·布莱克,11,actor
556,张国柱,11,actor
557,本尼迪克特·王,11,actor
558,约翰·特托罗,11,actor
559,黑木华,11,actor
560,哈莉·贝瑞,11,actor
561,约翰尼·诺克斯维尔,11,actor
562,宇野祥平,11,actor
563,马浴柯,11,actor
564,汤姆·赫兰德,11,actor
565,陈家乐,11,actor
566,夏洛特·兰普林,11,actor
567,黄轩,11,actor
568,彭昱畅,11,actor
569,乔宏,11,actor
570,胡歌,11,actor
571,泽城美雪,11,actor
572,乔·博恩瑟,11,actor
573,奥斯卡·伊萨克,11,actor
574,姜南,11,actor
575,丹尼尔·克雷格,11,actor
576,田中敦子,11,actor
577,欧阳莎菲,11,actor
578,艾米莉亚·克拉克,11,actor
579,琳娜·海蒂,11,actor
580,伊恩·格雷,11,actor
581,李立群,11,actor
582,约翰·盖蒂尔,11,actor
583,刘慧玲,11,actor
584,郑恺,11,actor
585,罗丝·伯恩,11,actor
586,雷·温斯顿,11,actor
587,伊恩·麦柯肖恩,11,actor
588,艾米莉·布朗特,11,actor
589,于和伟,11,actor
590,田中绢代,11,actor
591,盖尔·加朵,11,actor
592,杰西·艾森伯格,11,actor
593,蔡瀚亿,11,actor
594,伊达三郎,11,actor
595,安东尼·麦凯,11,actor
596,邓丽欣,11,actor
597,单立文,11,actor
598,艾美达·斯丹顿,11,actor
599,王莱,11,actor
600,安东尼奥·班德拉斯,11,actor
601,邱淑贞,11,actor
602,苗侨伟,11,actor
603,陆毅,11,actor
604,迈克尔·珊农,11,actor
605,房祖名,11,actor
606,王祖蓝,11,actor
607,乔·克里斯特,11,actor
608,杰瑞米·雷纳,11,actor
609,汤姆·希德勒斯顿,11,actor
610,江生,11,actor
611,安娜·肯德里克,11,actor
612,麦嘉,11,actor
613,林保怡,11,actor
614,大卫·克罗斯,11,actor
615,陆剑明,11,actor
616,罗伯·鲍森,11,actor
617,何润东,11,actor
618,高圆圆,11,actor
619,徐娇,11,actor
620,戴斯蒙德·莱维林,11,actor
621,凯西·贝茨,10,actor
622,神木隆之介,10,actor
623,渡边谦,10,actor
624,基里安·墨菲,10,actor
625,琼·艾伦,10,actor
626,卡西·阿弗莱克,10,actor
627,劳拉·琳妮,10,actor
628,朱茵,10,actor
629,李健仁,10,actor
630,黛安·基顿,10,actor
631,大谷育江,10,actor
632,邬君梅,10,actor
633,卡尔·厄本,10,actor
634,大卫·文翰,10,actor
635,德尔罗伊·林多,10,actor
636,克里斯托弗·沃肯,10,actor
637,吴达洙,10,actor
638,杰瑞米·艾恩斯,10,actor
639,杨贵媚,10,actor
640,吴倩莲,10,actor
641,赵文瑄,10,actor
642,詹妮弗·康纳利,10,actor
643,维拉·法米加,10,actor
644,布莱恩·科兰斯顿,10,actor
645,朱莉·安德鲁斯,10,actor
646,佐伊·索尔达娜,10,actor
