孙子从美国来,8.5,,,,,,,
暗夜博士：莫比亚斯 Morbius,5.8,,,,,,,
施隆多夫对话比利·怀尔德 Billy Wilder Speaks,7.5,,,,,,,
米兰心事 I fidanzati,8.0,,,,,,,
龙虎地头蛇 龍虎地頭蛇,,,,,,,,
寂静人生 Still Life,9.0,,,,,,,
情不自禁,8.4,,,,,,,
奇奇与蒂蒂：救援突击队 Chip 'n' Dale: Rescue Rangers,7.1,,,,,,,
患难之交 Buddy Buddy,6.6,,,,,,,
昨天,8.6,,,,,,,
瞬息全宇宙 Everything Everywhere All at Once,7.6,,,,,,,
丽人劫 Fedora,7.7,,,,,,,
戏王之王 The Greatest Show on Earth,7.1,,,,,,,
蓝宇 藍宇,8.4,,,,,,,
亢奋 第一季 Euphoria Season 1,8.2,,,,,,,
坏蛋联盟 The Bad Guys,7.3,,,,,,,
满城风雨 The Front Page,8.5,,,,,,,
工作 Il Posto,8.4,,,,,,,
夜生活的女人,5.4,,,,,,,
道别派对 מיתה טובה,8.0,,,,,,,
无言的山丘 無言的山丘,9.2,,,,,,,
音乐 音楽,8.6,,,,,,,
两代情 Avanti!,7.5,,,,,,,
天狗,8.8,,,,,,,
神奇动物：邓布利多之谜 Fantastic Beasts: The Secrets of Dumbledore,5.9,,,,,,,
福尔摩斯秘史 The Private Life of Sherlock Holmes,7.6,,,,,,,
立春,8.3,,,,,,,
地球改变之年 The Year Earth Changed,9.2,,,,,,,
飞来福 The Fortune Cookie,6.8,,,,,,,
犯罪河岸 Quai des Orfèvres,7.2,,,,,,,
失身,5.3,,,,,,,
珍爱泉源 The Fountain,7.0,,,,,,,
自梳,8.6,,,,,,,
阿尔卑斯看台的外缘 アルプススタンドのはしの方,6.7,,,,,,,
一个美国人在巴黎 An American in Paris,7.1,,,,,,,
"红唇相吻 Kiss Me, Stupid",7.1,,,,,,,
四海,5.3,,,,,,,
茜色如烧 茜色に焼かれる,7.1,,,,,,,
爱玛姑娘 Irma la Douce,7.7,,,,,,,
12夜,8.3,,,,,,,
亡命救护车 Ambulance,5.6,,,,,,,
"玉女风流 One, Two, Three",8.9,,,,,,,
死刑 Der Fangschuß,7.7,,,,,,,
叛逆,7.1,,,,,,,
死于明日 Die Tomorrow,7.4,,,,,,,
当代奸雄 All the King's Men,7.3,,,,,,,
本命年,8.3,,,,,,,
神秘海域 Uncharted,6.3,,,,,,,
林白征空记 The Spirit of St. Louis,6.7,,,,,,,
喜羊羊与灰太狼之筐出未来,6.8,,,,,,,
小屁孩日记 Diary of a Wimpy Kid,6.2,,,,,,,
黄昏之恋 Love in the Afternoon,7.5,,,,,,,
奇迹·笨小孩,7.4,,,,,,,
玫瑰岛的不可思议的历史 L'incredibile storia dell'isola delle rose,8.0,,,,,,,
七年之痒 The Seven Year Itch,7.5,,,,,,,
庆典 Jubilee,7.3,,,,,,,
警察,6.3,,,,,,,
午夜狂奔 Midnight Run,8.5,,,,,,,
马路天使 馬路天使,8.6,,,,,,,
新蝙蝠侠 The Batman,7.3,,,,,,,
龙凤配 Sabrina,7.8,,,,,,,
秦时明月之一舞倾城,9.1,,,,,,,
倒扣的王牌 Ace in the Hole,8.7,,,,,,,
永恒族 Eternals,5.8,,,,,,,
君子协定 Gentleman's Agreement,6.9,,,,,,,
鲁冰花 魯冰花,8.8,,,,,,,
浅田家！,8.3,,,,,,,
柏林艳史 A Foreign Affair,7.6,,,,,,,
白酋长 Lo sceicco bianco,7.3,,,,,,,
愤怒青年 憤怒青年,7.1,,,,,,,
朝圣之路 The Way,8.4,,,,,,,
熊出没·重返地球,6.5,,,,,,,
月球陨落 Moonfall,5.4,,,,,,,
璇宫艳舞 The Emperor Waltz,6.6,,,,,,,
与我同行 Going My Way,7.5,,,,,,,
这个杀手不太冷静,6.2,,,,,,,
阿波罗10½号：太空时代的童年 Apollo 10 1/2: A Space Age Childhood,7.5,,,,,,,
艳曲迷魂 A Song Is Born,7.6,,,,,,,
狙击手,7.7,,,,,,,
塔米·菲的眼睛 The Eyes of Tammy Faye,6.6,,,,,,,
篮球女王 The Queen of Basketball,6.5,,,,,,,
漫长的告别 The Long Goodbye,5.7,,,,,,,
皆为爱 The Windshield Wiper,8.3,,,,,,,
开罗谍报战 Five Graves to Cairo,6.8,,,,,,,
爱情狂奔 L'amour en fuite,8.0,,,,,,,
豪客,,,,,,,,
涉足荒野 Wild,7.7,,,,,,,
错位,8.1,,,,,,,
忠勇之家 Mrs. Miniver,7.6,,,,,,,
波斯语课 Persischstunden,8.1,,,,,,,
大人与小孩 The Major and the Minor,7.6,,,,,,,
光棍儿,8.1,,,,,,,
蠢蛋搞怪到永远 Jackass Forever,7.2,,,,,,,
良宵苦短 Hold Back the Dawn,7.3,,,,,,,
古董局中局,5.9,,,,,,,
打开心世界 The World to Come,8.2,,,,,,,
死亡工厂 Death Mills,7.1,,,,,,,
火球 Ball of Fire,7.6,,,,,,,
青山翠谷 How Green Was My Valley,8.3,,,,,,,
婚姻生活 Domicile conjugal,7.9,,,,,,,
阿牛入城记,6.1,,,,,,,
大都会 メトロポリス,8.1,,,,,,,
以年为单位的恋爱,5.2,,,,,,,
琴茧 いとみち,6.7,,,,,,,
午夜 Midnight,7.8,,,,,,,
门锁,4.3,,,,,,,
青春变形记 Turning Red,8.2,,,,,,,
妮诺契卡 Ninotchka,7.9,,,,,,,
水俣曼荼罗 水俣曼荼羅,9.3,,,,,,,
反贪风暴5：最终章 G風暴,4.6,,,,,,,
蜘蛛侠：英雄无归 Spider-Man: No Way Home,6.6,,,,,,,
蓝胡子的第八任妻子 Bluebeard's Eighth Wife,7.4,,,,,,,
偷吻 Baisers volés,7.9,,,,,,,
"龙虎走天涯 El kárate, el Colt y el impostor",6.0,,,,,,,
深渊 The Abyss,8.0,,,,,,,
梅艳芳 梅艷芳,6.9,,,,,,,
西区故事 West Side Story,6.0,,,,,,,
浮生若梦 You Can't Take It with You,7.6,,,,,,,
坏种 Mauvaise graine,6.0,,,,,,,
雄狮少年,8.3,,,,,,,
